DEBUG-__init__-59:Using selector: KqueueSelector
DEBUG-on_building_construction_complete-157:Hatchery has completed.
DEBUG-on_building_construction_complete-157:Extractor has completed.
DEBUG-on_building_construction_complete-157:Extractor has completed.
DEBUG-on_building_construction_complete-157:SpawningPool has completed.
06-Dec-20 12:31:04format= - DEBUG - __init__ - ln: 59: Using selector: KqueueSelector
06-Dec-20 12:31:43format= - DEBUG - on_building_construction_complete - ln: 157: Hatchery has completed.
06-Dec-20 12:32:29format= - DEBUG - on_building_construction_complete - ln: 157: Extractor has completed.
06-Dec-20 12:32:35format= - DEBUG - on_building_construction_complete - ln: 157: Extractor has completed.
06-12-20 12:37:38 - DEBUG - __init__ - ln: 59: Using selector: KqueueSelector
06-12-20 12:38:21 - DEBUG - on_building_construction_complete - ln: 157: Hatchery has completed.
06-12-20 12:39:24 - DEBUG - on_building_construction_complete - ln: 157: Extractor has completed.
06-12-20 12:43:18 | DEBUG | __init__ | ln:59: Using selector: KqueueSelector
18-12-20 14:19:18 | DEBUG | on_building_construction_complete | ln:179: Hatchery has completed.
18-12-20 14:19:31 | DEBUG | on_building_construction_complete | ln:179: Extractor has completed.
18-12-20 14:19:36 | DEBUG | on_building_construction_complete | ln:179: SpawningPool has completed.
18-12-20 14:20:15 | DEBUG | __init__ | ln:623: Using proactor: IocpProactor
18-12-20 14:20:32 | DEBUG | on_building_construction_complete | ln:179: Hatchery has completed.
18-12-20 14:20:53 | DEBUG | on_building_construction_complete | ln:179: Extractor has completed.
18-12-20 14:20:58 | DEBUG | on_building_construction_complete | ln:179: SpawningPool has completed.
18-12-20 14:21:21 | DEBUG | on_building_construction_complete | ln:179: Hatchery has completed.
18-12-20 14:21:31 | DEBUG | on_building_construction_complete | ln:179: Extractor has completed.
18-12-20 14:21:32 | DEBUG | on_building_construction_complete | ln:179: Extractor has completed.
18-12-20 14:23:35 | DEBUG | __init__ | ln:623: Using proactor: IocpProactor
18-12-20 14:23:54 | DEBUG | on_building_construction_complete | ln:179: Hatchery has completed.
18-12-20 14:24:08 | DEBUG | on_building_construction_complete | ln:179: Extractor has completed.
18-12-20 14:24:12 | DEBUG | on_building_construction_complete | ln:179: SpawningPool has completed.
18-12-20 14:26:04 | DEBUG | on_building_construction_complete | ln:179: Hatchery has completed.
18-12-20 14:26:11 | DEBUG | on_building_construction_complete | ln:179: Extractor has completed.
18-12-20 14:26:24 | DEBUG | on_building_construction_complete | ln:179: Extractor has completed.
18-12-20 14:26:33 | DEBUG | on_building_construction_complete | ln:179: Hatchery has completed.
18-12-20 16:18:59 | DEBUG | __init__ | ln:623: Using proactor: IocpProactor
18-12-20 16:19:25 | DEBUG | on_building_construction_complete | ln:179: Hatchery has completed.
18-12-20 16:19:51 | DEBUG | on_building_construction_complete | ln:179: Extractor has completed.
